
  Obs  ID  CPS  _NAME_  COL1  COL2  COL3
-----  --  ---  ------  ----  ----  ----
    1   1    1  FIND       9     1     .
    2   1    1  ALLEG      1     3     .
    3   1    2  FIND       1     .     .
    4   1    2  ALLEG      1     .     .
    5   2    3  FIND       2     1     9
    6   2    3  ALLEG      3     4     5
    7   2    4  FIND       1     1     .
    8   2    4  ALLEG      1     2     .
    9   2    5  FIND       1     .     .
   10   2    5  ALLEG      1     .     .
   11   3    6  FIND       9     .     .
   12   3    6  ALLEG      4     .     .
